QCEFF table version: 1,obs_error_info,,,,probit_inflation,,,,,probit_state,,,,,probit_extended_state,,,,,obs_inc_info,,,,
QTY_NAME,bounded_below,bounded_above,lower_bound,upper_bound,dist_type,bounded_below,bounded_above,lower_bound,upper_bound,dist_type,bounded_below,bounded_above,lower_bound,upper_bound,dist_type,bounded_below,bounded_above,lower_bound,upper_bound,filter_kind,bounded_below,bounded_above,lower_bound,upper_bound
QTY_TEMPERATURE,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RHF,.false.,.false.,-888888,-888888
QTY_U_WIND_COMPONENT,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RHF,.false.,.false.,-888888,-888888
QTY_V_WIND_COMPONENT,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RHF,.false.,.false.,-888888,-888888
QTY_SURFACE_PRESSURE,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.false.,.false.,-888888,-888888,BOUNDED_NORMAL_RHF,.false.,.false.,-888888,-888888
QTY_SPECIFIC_HUMIDITY,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RHF,.true.,.false.,0,-888888
QTY_CLOUD_LIQUID_WATER,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RHF,.true.,.false.,0,-888888
QTY_CLOUD_ICE,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RH_DISTRIBUTION,.true.,.false.,0,-888888,BOUNDED_NORMAL_RHF,.true.,.false.,0,-888888
